map1_1 is over,trail=412000,time=87.529474
map1_2 is over,trail=410000,time=90.576999
map1_3 is over,trail=372000,time=78.447138
map1_4 is over,trail=372000,time=98.359521
map1_5 is over,trail=366000,time=87.996383
map1_6 is over,trail=422000,time=67.171776
map1_7 is over,trail=398000,time=86.801476
map1_8 is over,trail=408000,time=70.606563
map2_1 is over,trail=386000,time=70.682355
map2_2 is over,trail=368000,time=121.027257
map2_3 is over,trail=360000,time=116.005793
map2_4 is over,trail=390000,time=84.543029
map2_5 is over,trail=376000,time=72.261059
map2_6 is over,trail=442000,time=83.997716
map2_7 is over,trail=374000,time=73.129749
map2_8 is over,trail=386000,time=71.059657
map3_1 is over,trail=418000,time=66.580354
map3_2 is over,trail=378000,time=58.426184
map3_3 is over,trail=418000,time=84.624847
map3_4 is over,trail=344000,time=100.396169
map3_5 is over,trail=410000,time=74.620277
map3_6 is over,trail=398000,time=92.799812
map3_7 is over,trail=344000,time=65.042586
map3_8 is over,trail=350000,time=71.724282
map4_1 is over,trail=406000,time=82.624657
map4_2 is over,trail=406000,time=59.159239
map4_3 is over,trail=388000,time=77.692281
map4_4 is over,trail=394000,time=64.884947
map4_5 is over,trail=348000,time=63.048848
map4_6 is over,trail=382000,time=74.958788
map4_7 is over,trail=368000,time=84.114382
map4_8 is over,trail=368000,time=60.303845
map5_1 is over,trail=386000,time=71.983557
map5_2 is over,trail=376000,time=67.828893
map5_3 is over,trail=478000,time=92.346866
map5_4 is over,trail=378000,time=109.531305
map5_5 is over,trail=432000,time=94.063811
map5_6 is over,trail=414000,time=89.150097
map5_7 is over,trail=362000,time=83.044009
map5_8 is over,trail=416000,time=67.269014
3216.4237909999997
